epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.207,0.7194,0.46017,1.04524,0.94595,0.89198,0.96747,0.79933,0.66186,0.47541,1.03308,0.066789,8.32355e-05,8.32355e-05
2,612.679,0.6571,0.4077,1.00718,0.92564,0.94133,0.97283,0.81677,0.63774,0.42382,1.02146,0.0335308,0.000158324,0.000158324
3,915.25,0.62242,0.37366,0.98477,0.93267,0.94059,0.97793,0.82971,0.61124,0.4116,0.99909,0.000264286,0.000225162,0.000225162
4,1215.87,0.6016,0.35614,0.97825,0.94373,0.93981,0.97604,0.83155,0.59071,0.4012,0.98606,0.000212875,0.000212875,0.000212875
5,1519.32,0.59005,0.35054,0.96603,0.94034,0.94753,0.97706,0.83367,0.59601,0.40288,0.98763,0.0002005,0.0002005,0.0002005
6,1821.62,0.58223,0.34245,0.95991,0.94913,0.93981,0.97185,0.834,0.5733,0.43922,0.97282,0.000188125,0.000188125,0.000188125
7,2123.39,0.57015,0.33119,0.95365,0.9436,0.95522,0.98204,0.84262,0.57465,0.36812,0.97242,0.00017575,0.00017575,0.00017575
8,2431.97,0.56831,0.32808,0.9515,0.96755,0.94336,0.97872,0.84285,0.57188,0.39812,0.97113,0.000163375,0.000163375,0.000163375
9,2729.95,0.56295,0.3256,0.95188,0.96313,0.94723,0.97808,0.8418,0.56538,0.39294,0.96834,0.000151,0.000151,0.000151
10,3024.56,0.54801,0.31675,0.94251,0.96251,0.95101,0.98421,0.8499,0.56562,0.35727,0.96227,0.000138625,0.000138625,0.000138625
11,3325.04,0.55047,0.31481,0.94265,0.97141,0.94381,0.98288,0.8528,0.55619,0.35932,0.95783,0.00012625,0.00012625,0.00012625
12,3636.56,0.53898,0.30972,0.93536,0.9589,0.95525,0.9777,0.84872,0.55416,0.37765,0.95863,0.000113875,0.000113875,0.000113875
13,3965.6,0.54186,0.30402,0.94042,0.96511,0.95062,0.98107,0.85129,0.55365,0.35522,0.95627,0.0001015,0.0001015,0.0001015
14,4296.45,0.53615,0.29962,0.93709,0.9634,0.95139,0.97629,0.84916,0.54428,0.37687,0.95138,8.9125e-05,8.9125e-05,8.9125e-05
15,4601.82,0.53108,0.30023,0.93021,0.97,0.95216,0.98294,0.85616,0.54419,0.34965,0.95276,7.675e-05,7.675e-05,7.675e-05
16,4902.77,0.52817,0.29647,0.92961,0.95415,0.95525,0.97462,0.84878,0.53992,0.39488,0.95003,6.4375e-05,6.4375e-05,6.4375e-05
17,5237.87,0.52324,0.29189,0.92747,0.9575,0.95448,0.97229,0.8462,0.543,0.38972,0.9506,5.2e-05,5.2e-05,5.2e-05
18,5608.56,0.51356,0.28432,0.92196,0.95117,0.96192,0.97582,0.85156,0.53903,0.37559,0.9486,3.9625e-05,3.9625e-05,3.9625e-05
19,5905.3,0.51008,0.28189,0.92285,0.95779,0.95525,0.97893,0.856,0.53624,0.35826,0.94754,2.725e-05,2.725e-05,2.725e-05
20,6201.67,0.50798,0.27955,0.92015,0.95876,0.95602,0.97892,0.85416,0.53658,0.36444,0.94678,1.4875e-05,1.4875e-05,1.4875e-05
