epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,583.766,0.64205,0.39064,0.99778,0.96666,0.94975,0.98972,0.83957,0.62803,0.4143,0.98604,0.0668099,3.32233e-05,3.32233e-05
2,906.199,0.59511,0.34215,0.96282,0.96993,0.96734,0.98815,0.83984,0.61964,0.41896,0.97354,0.0335088,6.54585e-05,6.54585e-05
3,1241.42,0.56468,0.31567,0.95209,0.95754,0.97236,0.98165,0.83531,0.60842,0.43848,0.97188,0.000206605,9.65936e-05,9.65936e-05
4,1423.68,0.55823,0.30981,0.9396,0.96506,0.97152,0.97936,0.83727,0.6061,0.41774,0.96945,9.505e-05,9.505e-05,9.505e-05
5,1731.57,0.54553,0.3031,0.93143,0.9722,0.96663,0.97974,0.84225,0.59781,0.40269,0.96955,9.34e-05,9.34e-05,9.34e-05
6,2068.72,0.5449,0.30132,0.93347,0.95851,0.9868,0.98726,0.85521,0.58274,0.3699,0.95842,9.175e-05,9.175e-05,9.175e-05
7,2392.62,0.5392,0.29542,0.92039,0.96351,0.9799,0.98493,0.85849,0.57913,0.3813,0.95445,9.01e-05,9.01e-05,9.01e-05
8,2655,0.52509,0.29198,0.92369,0.97055,0.97739,0.97813,0.84651,0.58458,0.40319,0.95726,8.845e-05,8.845e-05,8.845e-05
9,2909.75,0.52879,0.29022,0.9245,0.97249,0.97705,0.98854,0.86709,0.57788,0.35857,0.95616,8.68e-05,8.68e-05,8.68e-05
10,3169.78,0.52498,0.28974,0.92016,0.96607,0.97739,0.98431,0.8507,0.58215,0.39207,0.95606,8.515e-05,8.515e-05,8.515e-05
11,3455.66,0.52191,0.28868,0.92361,0.96848,0.97739,0.98969,0.86773,0.57608,0.37226,0.95129,8.35e-05,8.35e-05,8.35e-05
12,3674.65,0.51639,0.28379,0.91655,0.97726,0.97739,0.9912,0.87467,0.56326,0.34162,0.94481,8.185e-05,8.185e-05,8.185e-05
13,3957.87,0.5066,0.28078,0.90923,0.95414,0.99246,0.98443,0.86287,0.56987,0.36739,0.94811,8.02e-05,8.02e-05,8.02e-05
14,4217.09,0.51446,0.28024,0.91334,0.98227,0.97458,0.99246,0.87696,0.56348,0.33882,0.94541,7.855e-05,7.855e-05,7.855e-05
15,4471.91,0.50509,0.27718,0.91513,0.96302,0.98134,0.97739,0.8458,0.57079,0.39076,0.95027,7.69e-05,7.69e-05,7.69e-05
16,4732.64,0.5031,0.27683,0.90178,0.96956,0.98492,0.98956,0.87189,0.56354,0.35376,0.94377,7.525e-05,7.525e-05,7.525e-05
17,4994.24,0.49893,0.27699,0.90083,0.96292,0.97865,0.98225,0.86079,0.55972,0.37179,0.94305,7.36e-05,7.36e-05,7.36e-05
18,5184.49,0.49174,0.27267,0.90179,0.97026,0.98355,0.99011,0.87034,0.56146,0.35604,0.94379,7.195e-05,7.195e-05,7.195e-05
19,5465.3,0.49899,0.27159,0.89592,0.96542,0.98199,0.9759,0.84604,0.56162,0.39301,0.94348,7.03e-05,7.03e-05,7.03e-05
20,5791.61,0.49386,0.27246,0.89793,0.98487,0.9812,0.99126,0.87006,0.56542,0.33208,0.94255,6.865e-05,6.865e-05,6.865e-05
21,6077.47,0.4892,0.27114,0.89477,0.97017,0.98051,0.98417,0.86186,0.5595,0.35751,0.94638,6.7e-05,6.7e-05,6.7e-05
22,6397.69,0.48893,0.26883,0.89701,0.96526,0.97751,0.97564,0.8488,0.56525,0.39116,0.95363,6.535e-05,6.535e-05,6.535e-05
23,6665.57,0.4844,0.26778,0.89237,0.97245,0.97574,0.98141,0.85552,0.56254,0.36761,0.94711,6.37e-05,6.37e-05,6.37e-05
24,6930.99,0.48318,0.26472,0.89095,0.97598,0.97739,0.98931,0.86996,0.56228,0.34692,0.94845,6.205e-05,6.205e-05,6.205e-05
25,7194.53,0.48476,0.26463,0.88733,0.97503,0.98116,0.98632,0.86308,0.55842,0.34147,0.93953,6.04e-05,6.04e-05,6.04e-05
26,7516.06,0.47766,0.26402,0.88387,0.97292,0.9799,0.98737,0.86577,0.55739,0.35054,0.94025,5.875e-05,5.875e-05,5.875e-05
27,7845.27,0.48,0.26517,0.88619,0.98415,0.9799,0.99031,0.87344,0.5545,0.34389,0.94228,5.71e-05,5.71e-05,5.71e-05
28,8085.95,0.47503,0.2634,0.88536,0.97557,0.9799,0.98417,0.86499,0.55609,0.35737,0.93952,5.545e-05,5.545e-05,5.545e-05
