epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.8171,0.99362,0.47183,1.21244,0.91171,1,0.95292,0.70507,0.97034,0.58946,1.16151,0.0670469,0.00033286,0.00033286
2,116.938,0.91109,0.4074,1.14276,0.91722,0.99717,0.93909,0.67207,1.02785,0.69171,1.15643,0.0340337,0.000653003,0.000653003
3,175.579,0.89466,0.40623,1.12891,0.83516,0.99,0.94195,0.68165,1.03262,1.04356,1.1645,0.00100729,0.000959945,0.000959945
4,236.194,0.90144,0.39582,1.13775,0.97242,0.995,0.99435,0.69651,1.15285,0.58421,1.21223,0.0009406,0.0009406,0.0009406
5,300.172,0.8975,0.40087,1.13743,0.95809,1,0.97539,0.70448,1.0547,0.54402,1.17648,0.0009208,0.0009208,0.0009208
6,363.283,0.90323,0.39901,1.12886,0.82863,0.995,0.88717,0.67114,0.9625,0.90594,1.12966,0.000901,0.000901,0.000901
7,427.353,0.89215,0.38794,1.14749,0.76838,0.995,0.88505,0.66058,0.98062,1.20288,1.13532,0.0008812,0.0008812,0.0008812
8,491.841,0.87508,0.37849,1.11563,0.69909,0.995,0.82452,0.62678,0.94116,1.16659,1.11771,0.0008614,0.0008614,0.0008614
9,551.608,0.87967,0.38395,1.12057,0.90489,1,0.95382,0.7143,0.94165,0.86064,1.12932,0.0008416,0.0008416,0.0008416
10,682.845,0.83533,0.36853,1.08412,0.7816,0.995,0.85417,0.6291,1.00267,1.0161,1.14562,0.0008218,0.0008218,0.0008218
11,801.27,0.86685,0.35907,1.09822,0.82295,0.98,0.87993,0.64982,0.96553,0.82005,1.14164,0.000802,0.000802,0.000802
12,1009.44,0.86277,0.37703,1.10374,0.91066,1,0.93929,0.72391,0.90609,0.54811,1.09173,0.0007822,0.0007822,0.0007822
13,1126.03,0.84457,0.36001,1.08152,0.90021,1,0.92678,0.67792,0.99662,0.66682,1.13919,0.0007624,0.0007624,0.0007624
14,1240.53,0.82669,0.36889,1.08879,0.9566,1,0.98569,0.73019,0.93639,0.53668,1.1312,0.0007426,0.0007426,0.0007426
15,1357.53,0.85894,0.36736,1.10316,0.95455,1,0.97043,0.67922,1.10441,0.59166,1.2122,0.0007228,0.0007228,0.0007228
16,1472.96,0.85914,0.36008,1.09864,0.93743,1,0.96343,0.68532,1.02644,0.54267,1.19141,0.000703,0.000703,0.000703
17,1588.23,0.84736,0.3573,1.09128,0.81796,0.995,0.87877,0.65846,0.94214,0.77323,1.12566,0.0006832,0.0006832,0.0006832
18,1704.39,0.83262,0.35523,1.09283,0.91634,1,0.95141,0.71394,0.91967,0.72326,1.12621,0.0006634,0.0006634,0.0006634
19,1821.16,0.82626,0.35079,1.08678,0.91536,0.995,0.9755,0.74162,0.92992,0.7984,1.11459,0.0006436,0.0006436,0.0006436
20,1899.54,0.84298,0.36409,1.09549,0.91795,1,0.95887,0.73496,0.90354,0.67686,1.0956,0.0006238,0.0006238,0.0006238
21,1979.51,0.82035,0.3549,1.09088,0.90941,1,0.94385,0.72209,0.89554,0.77821,1.10918,0.000604,0.000604,0.000604
22,2099.5,0.80379,0.33885,1.086,0.8598,1,0.89254,0.68445,0.89329,0.90809,1.0997,0.0005842,0.0005842,0.0005842
23,2213.52,0.81081,0.33988,1.06837,0.73497,1,0.80909,0.61141,0.92605,1.28239,1.11396,0.0005644,0.0005644,0.0005644
24,2329.56,0.80013,0.3397,1.07442,0.64954,1,0.73553,0.55849,0.90842,1.46471,1.11017,0.0005446,0.0005446,0.0005446
25,2444.84,0.77629,0.33317,1.07094,0.70232,1,0.77046,0.57682,0.93752,1.40647,1.11387,0.0005248,0.0005248,0.0005248
26,2559.58,0.78033,0.33643,1.06172,0.96113,1,0.98291,0.74889,0.9282,0.91415,1.09646,0.000505,0.000505,0.000505
27,2676.76,0.77687,0.32846,1.06094,0.84292,1,0.88969,0.65762,0.9704,1.14563,1.14785,0.0004852,0.0004852,0.0004852
28,2798.96,0.77795,0.33339,1.06759,0.64491,1,0.72699,0.53603,0.96293,1.61808,1.14179,0.0004654,0.0004654,0.0004654
29,2922.05,0.77798,0.33121,1.05838,0.79333,1,0.87648,0.65156,0.93931,1.36153,1.13203,0.0004456,0.0004456,0.0004456
30,3037.26,0.77666,0.33455,1.05149,0.86591,1,0.91715,0.69308,0.91559,1.0491,1.11749,0.0004258,0.0004258,0.0004258
31,3154.42,0.75921,0.32027,1.03973,0.58878,1,0.67954,0.50967,0.95665,1.82068,1.15234,0.000406,0.000406,0.000406
32,3270.24,0.77272,0.32635,1.06393,0.72393,1,0.80742,0.60107,0.95134,1.62994,1.13702,0.0003862,0.0003862,0.0003862
33,3388.89,0.7733,0.33147,1.07144,0.72478,1,0.82357,0.59678,0.99986,1.7766,1.16623,0.0003664,0.0003664,0.0003664
34,3502.68,0.76429,0.32082,1.03867,0.65852,1,0.72404,0.54817,0.91483,1.7266,1.11845,0.0003466,0.0003466,0.0003466
35,3621.52,0.76709,0.32556,1.0606,0.53093,1,0.59003,0.43659,0.91169,2.1593,1.11645,0.0003268,0.0003268,0.0003268
36,3738.21,0.76291,0.316,1.0469,0.64424,1,0.71323,0.52889,0.92033,1.71002,1.13181,0.000307,0.000307,0.000307
37,3857.54,0.75257,0.32298,1.03711,0.66881,1,0.74829,0.56342,0.91624,1.50115,1.11782,0.0002872,0.0002872,0.0002872
38,3972.74,0.75065,0.31393,1.04347,0.90727,1,0.95169,0.72754,0.89823,0.97198,1.09657,0.0002674,0.0002674,0.0002674
39,4092.57,0.76752,0.32367,1.04524,0.81921,1,0.88455,0.66298,0.95215,1.14651,1.13104,0.0002476,0.0002476,0.0002476
40,4211.68,0.73796,0.31045,1.04549,0.6677,1,0.71784,0.54695,0.90432,1.52544,1.09556,0.0002278,0.0002278,0.0002278
41,4327.31,0.74466,0.31158,1.03462,0.80249,1,0.87791,0.66097,0.92046,1.04577,1.1221,0.000208,0.000208,0.000208
42,4446.87,0.7442,0.3059,1.04664,0.56704,1,0.6215,0.46105,0.90617,1.72137,1.10378,0.0001882,0.0001882,0.0001882
43,4559.06,0.73147,0.30955,1.03795,0.61609,1,0.66618,0.49893,0.91439,1.74232,1.11156,0.0001684,0.0001684,0.0001684
44,4675.87,0.72773,0.30096,1.02493,0.665,1,0.73042,0.54997,0.921,1.33736,1.11636,0.0001486,0.0001486,0.0001486
45,4800.28,0.71138,0.30026,1.02773,0.57952,1,0.6397,0.47497,0.92679,1.68177,1.12517,0.0001288,0.0001288,0.0001288
46,4964.71,0.68208,0.26324,1.00508,0.60089,1,0.67383,0.50647,0.91061,1.72997,1.10926,0.000109,0.000109,0.000109
47,5086.75,0.68124,0.26149,0.99169,0.57096,1,0.65011,0.47739,0.93573,1.70071,1.1328,8.92e-05,8.92e-05,8.92e-05
48,5209.87,0.67982,0.26143,0.99646,0.61123,1,0.68215,0.50789,0.91755,1.63045,1.1181,6.94e-05,6.94e-05,6.94e-05
49,5332.84,0.68707,0.26184,1.00365,0.6248,1,0.68817,0.51434,0.92693,1.53997,1.12202,4.96e-05,4.96e-05,4.96e-05
50,5450.02,0.66591,0.25827,0.99047,0.48944,1,0.55253,0.40083,0.927,1.95484,1.12109,2.98e-05,2.98e-05,2.98e-05
