epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.584,1.42277,1.08102,1.42984,0.97505,0.94754,0.97555,0.53653,1.48251,0.80069,1.41792,0.0670227,0.000333104,0.000333104
2,370.86,1.33905,0.82169,1.34613,0.98304,0.95996,0.9759,0.59115,1.38378,0.65902,1.29782,0.0340145,0.00065819,0.00065819
3,554.716,1.31623,0.77602,1.33509,0.9801,0.96131,0.98264,0.54849,1.55308,0.65777,1.42097,0.000997983,0.000975026,0.000975026
4,727.432,1.3048,0.74645,1.31297,0.98184,0.95928,0.98314,0.5894,1.42403,0.60767,1.315,0.000962875,0.000962875,0.000962875
5,888.783,1.29504,0.71792,1.30655,0.97181,0.96511,0.98743,0.59891,1.4078,0.61128,1.30559,0.0009505,0.0009505,0.0009505
6,1089.76,1.26896,0.68645,1.29105,0.98942,0.96925,0.99,0.60797,1.43744,0.57592,1.30816,0.000938125,0.000938125,0.000938125
7,1290.45,1.24158,0.66038,1.27002,0.9852,0.95565,0.98575,0.63658,1.3154,0.53577,1.25456,0.00092575,0.00092575,0.00092575
8,1490.78,1.25188,0.65316,1.28109,0.97409,0.96984,0.98862,0.64283,1.2951,0.51975,1.24527,0.000913375,0.000913375,0.000913375
9,1687.86,1.22598,0.63028,1.25883,0.98083,0.96802,0.99167,0.63803,1.33441,0.51689,1.24131,0.000901,0.000901,0.000901
10,1887.79,1.25869,0.63778,1.27632,0.96337,0.97871,0.98933,0.62517,1.33885,0.5188,1.24664,0.000888625,0.000888625,0.000888625
11,2091.34,1.21977,0.62904,1.26044,0.98391,0.97635,0.99263,0.66923,1.22974,0.49494,1.19111,0.00087625,0.00087625,0.00087625
12,2294.33,1.22006,0.61827,1.25301,0.98558,0.97012,0.99258,0.64169,1.31639,0.52427,1.24526,0.000863875,0.000863875,0.000863875
13,2467.25,1.20536,0.6129,1.25089,0.98617,0.97001,0.99169,0.62977,1.32328,0.52159,1.25771,0.0008515,0.0008515,0.0008515
14,2627.34,1.17451,0.58224,1.23127,0.98424,0.97398,0.99187,0.63698,1.32045,0.50973,1.24048,0.000839125,0.000839125,0.000839125
15,2831.19,1.19424,0.58844,1.24213,0.98564,0.9745,0.99235,0.6621,1.23253,0.49302,1.20076,0.00082675,0.00082675,0.00082675
16,3021.42,1.19734,0.58731,1.2415,0.98336,0.96984,0.99205,0.65553,1.28034,0.48992,1.22584,0.000814375,0.000814375,0.000814375
17,3210.14,1.18369,0.58049,1.23079,0.99037,0.9735,0.99137,0.65065,1.28147,0.47687,1.22493,0.000802,0.000802,0.000802
18,3399.01,1.18201,0.58435,1.23213,0.98272,0.97531,0.99281,0.69203,1.16224,0.47232,1.17108,0.000789625,0.000789625,0.000789625
19,3601.76,1.17628,0.57321,1.22469,0.98435,0.97398,0.99145,0.66615,1.25063,0.46558,1.20864,0.00077725,0.00077725,0.00077725
20,3806.7,1.16778,0.56714,1.22155,0.99166,0.97635,0.99317,0.66969,1.24569,0.46657,1.20205,0.000764875,0.000764875,0.000764875
21,4010.54,1.15814,0.56289,1.21921,0.99216,0.97321,0.99312,0.66741,1.21898,0.46893,1.19612,0.0007525,0.0007525,0.0007525
22,4268.13,1.15557,0.55798,1.2193,0.98829,0.97989,0.99381,0.64022,1.33552,0.48393,1.26372,0.000740125,0.000740125,0.000740125
23,4599.86,1.14565,0.55258,1.20905,0.98422,0.97575,0.99397,0.68057,1.21017,0.45844,1.17995,0.00072775,0.00072775,0.00072775
24,4917.81,1.15449,0.54436,1.21454,0.99102,0.97875,0.99304,0.6875,1.20919,0.44341,1.17808,0.000715375,0.000715375,0.000715375
25,5235.13,1.15909,0.54493,1.21394,0.98625,0.97584,0.99323,0.68674,1.19445,0.45872,1.17512,0.000703,0.000703,0.000703
