epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.979,1.08018,1.89899,1.10055,0.51794,0.55,0.57092,0.36256,1.23195,2.67098,1.24203,0.000659091,0.000659091,0.000659091
2,449.969,1.07285,1.2774,1.09417,0.94592,0.99,0.98008,0.68714,1.00681,1.40978,1.10999,0.00129951,0.00129951,0.00129951
3,672.442,1.02907,1.05367,1.08633,0.93672,0.995,0.96395,0.70751,0.96228,1.42543,1.10069,0.00191352,0.00191352,0.00191352
4,891.936,1.00083,0.88457,1.05667,0.98988,0.97801,0.99313,0.70853,1.0082,1.04849,1.0948,0.0018812,0.0018812,0.0018812
5,1125.63,1.03629,0.79224,1.08986,0.99496,1,0.99445,0.74192,0.97399,0.74197,1.09695,0.0018416,0.0018416,0.0018416
6,1358.95,0.99658,0.69788,1.07782,0.97193,1,0.99335,0.72369,1.0291,0.67776,1.12023,0.001802,0.001802,0.001802
7,1594.5,0.9647,0.64744,1.06321,0.98374,1,0.98967,0.75042,0.90459,0.71435,1.05285,0.0017624,0.0017624,0.0017624
8,1829.98,1.00229,0.6302,1.07897,0.98936,0.995,0.99495,0.72877,0.98274,0.61267,1.08178,0.0017228,0.0017228,0.0017228
9,2066.12,0.96458,0.59636,1.05938,0.99396,1,0.995,0.75849,0.91142,0.53966,1.05867,0.0016832,0.0016832,0.0016832
10,2300.07,0.96484,0.5776,1.06011,0.99343,0.995,0.99495,0.7651,0.91242,0.55276,1.04119,0.0016436,0.0016436,0.0016436
11,2534.63,0.93514,0.55017,1.03549,0.96002,0.995,0.97975,0.74446,0.91529,0.56757,1.04882,0.001604,0.001604,0.001604
12,2768.55,0.95746,0.56335,1.059,0.99889,0.995,0.995,0.74101,0.94726,0.56408,1.0615,0.0015644,0.0015644,0.0015644
13,3004.27,0.90535,0.52321,1.02874,0.96016,1,0.95846,0.73005,0.91362,0.56962,1.04985,0.0015248,0.0015248,0.0015248
14,3236.46,0.90839,0.51679,1.03217,1,0.99899,0.995,0.76271,0.91336,0.47616,1.0581,0.0014852,0.0014852,0.0014852
15,3469.45,0.93441,0.51474,1.03054,0.98879,1,0.9949,0.76408,0.91455,0.48206,1.03851,0.0014456,0.0014456,0.0014456
16,3705.72,0.89606,0.50211,1.03291,0.99285,1,0.99445,0.7497,0.9189,0.46781,1.03989,0.001406,0.001406,0.001406
17,3940.86,0.91338,0.48776,1.0389,0.94682,1,0.9523,0.71937,0.94285,0.53391,1.04918,0.0013664,0.0013664,0.0013664
18,4175.02,0.90042,0.48275,1.02813,0.99886,1,0.995,0.76699,0.9113,0.45492,1.03184,0.0013268,0.0013268,0.0013268
19,4409.5,0.90936,0.47545,1.03423,0.98468,0.995,0.99245,0.74507,0.93865,0.44828,1.05976,0.0012872,0.0012872,0.0012872
20,4643.03,0.9019,0.47184,1.02131,0.99461,1,0.99301,0.76353,0.91111,0.4349,1.0339,0.0012476,0.0012476,0.0012476
21,4876.31,0.8754,0.45515,1.01672,0.99448,1,0.99371,0.77136,0.91848,0.42679,1.02787,0.001208,0.001208,0.001208
