epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.588,0.82412,0.39239,0.98395,0.99463,1,0.99296,0.77388,0.90883,0.39682,1.02085,0.000662879,0.000662879,0.000662879
2,572.8,0.89598,0.44634,1.02945,0.98975,1,0.99495,0.76091,0.94502,0.40791,1.03726,0.00128567,0.00128567,0.00128567
3,810.821,0.88186,0.45346,1.0284,0.98677,1,0.99445,0.75522,0.96453,0.45755,1.0439,0.00186446,0.00186446,0.00186446
4,1071.23,0.89176,0.47072,1.03085,0.97556,0.99798,0.97995,0.701,1.03334,0.5133,1.1045,0.001802,0.001802,0.001802
5,1326.88,0.87649,0.46394,1.02314,0.98776,0.995,0.99465,0.75332,0.9626,0.43763,1.08232,0.001736,0.001736,0.001736
6,1585.01,0.9008,0.47644,1.02999,0.97026,0.97876,0.98951,0.74791,0.9491,0.48705,1.04161,0.00167,0.00167,0.00167
7,1844.9,0.89855,0.47704,1.03096,0.99002,1,0.99346,0.77313,0.88088,0.429,1.00891,0.001604,0.001604,0.001604
8,2104.35,0.88657,0.46847,1.02646,0.96857,1,0.96646,0.71897,0.96037,0.44647,1.04419,0.001538,0.001538,0.001538
9,2364.7,0.90701,0.47085,1.02537,0.98465,1,0.99495,0.75612,0.95021,0.40976,1.04268,0.001472,0.001472,0.001472
10,2626.11,0.86251,0.43863,1.01672,0.99651,1,0.995,0.76211,0.93693,0.40416,1.0259,0.001406,0.001406,0.001406
11,2889.01,0.84262,0.42777,1.01869,0.99458,1,0.99396,0.77497,0.9033,0.39789,1.01854,0.00134,0.00134,0.00134
12,3148.57,0.86855,0.43356,1.01824,0.98963,1,0.99475,0.77552,0.91076,0.4113,1.02413,0.001274,0.001274,0.001274
13,3416.76,0.8518,0.41724,1.01122,0.98975,1,0.99295,0.78707,0.89061,0.3876,1.01077,0.001208,0.001208,0.001208
14,3676.95,0.85045,0.41992,1.01113,0.99941,1,0.995,0.77348,0.90366,0.38337,1.017,0.001142,0.001142,0.001142
15,3939.08,0.84153,0.41344,0.99961,0.99448,1,0.995,0.77218,0.93263,0.37906,1.02508,0.001076,0.001076,0.001076
16,4194.74,0.86216,0.4322,1.01086,0.99275,1,0.99331,0.77138,0.92696,0.39118,1.02386,0.00101,0.00101,0.00101
17,4453.66,0.81526,0.40988,1.00744,0.99443,1,0.995,0.77788,0.92833,0.3831,1.02543,0.000944,0.000944,0.000944
18,4712.02,0.81861,0.39267,1.01035,0.99301,1,0.99465,0.79418,0.90835,0.37376,1.01477,0.000878,0.000878,0.000878
19,4970.72,0.81106,0.38702,0.99605,0.99703,1,0.995,0.78872,0.90966,0.36648,1.0113,0.000812,0.000812,0.000812
20,5230.06,0.8052,0.38243,0.98303,0.99475,1,0.995,0.79254,0.90315,0.35249,1.00404,0.000746,0.000746,0.000746
21,5489.2,0.78145,0.34642,1.00411,1,0.99869,0.995,0.77813,0.91056,0.36823,1.01104,0.00068,0.00068,0.00068
22,5747.72,0.77908,0.3382,0.99544,0.99418,1,0.9941,0.76914,0.94788,0.37889,1.02226,0.000614,0.000614,0.000614
23,6004.94,0.77043,0.34182,0.99268,0.99502,0.9985,0.99361,0.77998,0.9015,0.36507,1.00881,0.000548,0.000548,0.000548
24,6262.78,0.76023,0.33286,0.98925,0.99459,1,0.99301,0.79101,0.90075,0.35189,1.00953,0.000482,0.000482,0.000482
25,6516.25,0.75264,0.33122,0.98371,0.99502,0.99937,0.9946,0.792,0.88424,0.35178,1.00529,0.000416,0.000416,0.000416
26,6775.17,0.74584,0.32027,0.97628,0.9943,1,0.99455,0.79462,0.90646,0.35555,1.00643,0.00035,0.00035,0.00035
27,7033.09,0.72496,0.31664,0.97071,0.99471,1,0.99405,0.80389,0.87989,0.34652,1.00303,0.000284,0.000284,0.000284
28,7289.88,0.72377,0.31287,0.96293,0.99472,1,0.99405,0.79708,0.89404,0.33877,1.00342,0.000218,0.000218,0.000218
29,7547.33,0.71374,0.30161,0.97162,0.99478,1,0.99475,0.80324,0.88711,0.33288,0.99844,0.000152,0.000152,0.000152
30,7798.99,0.69393,0.29821,0.95526,0.99476,1,0.9947,0.79906,0.90143,0.33364,1.00621,8.6e-05,8.6e-05,8.6e-05
