epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,665.076,1.26008,0.97853,1.27364,0.83574,0.955,0.92941,0.51653,1.45534,0.78644,1.39227,0.0675189,0.000662879,0.000662879
2,1379.2,1.20983,0.79355,1.29423,0.79531,0.95195,0.78466,0.40591,1.71356,1.06957,1.76875,0.0348413,0.00131858,0.00131858
3,2098.85,1.20232,0.7722,1.28776,0.87299,0.92788,0.94403,0.60223,1.23247,0.93811,1.33748,0.00215267,0.00196327,0.00196327
4,2816.65,1.12256,0.67437,1.24703,0.95864,0.965,0.97622,0.68514,1.06757,0.61877,1.21567,0.0019505,0.0019505,0.0019505
5,3528.85,1.13634,0.66114,1.26384,0.98452,0.95426,0.98207,0.6622,1.19014,0.66158,1.2897,0.001934,0.001934,0.001934
6,4242.91,1.15707,0.68879,1.29563,0.93401,0.98,0.96067,0.64721,1.14477,0.70202,1.25806,0.0019175,0.0019175,0.0019175
7,4959.42,1.10439,0.63577,1.25051,0.97438,0.98,0.97967,0.60334,1.39005,0.59439,1.40291,0.001901,0.001901,0.001901
8,5679.76,1.11789,0.62356,1.26872,0.92379,0.96975,0.9566,0.57207,1.44369,0.72799,1.42954,0.0018845,0.0018845,0.0018845
9,6391.23,1.10579,0.6273,1.22916,0.98817,0.985,0.98703,0.61114,1.36258,0.59396,1.37333,0.001868,0.001868,0.001868
10,7110.44,1.0819,0.59821,1.22617,0.97728,0.99,0.98475,0.65751,1.22677,0.52116,1.26869,0.0018515,0.0018515,0.0018515
11,7826.81,1.0582,0.58425,1.21017,0.98393,0.99,0.98438,0.67337,1.19239,0.50735,1.26545,0.001835,0.001835,0.001835
12,8543.68,1.08087,0.57297,1.22773,0.97414,0.985,0.98434,0.59928,1.40514,0.59276,1.42649,0.0018185,0.0018185,0.0018185
13,9196.74,1.07822,0.58307,1.20965,0.98995,0.985,0.99119,0.70078,1.11599,0.52771,1.20034,0.001802,0.001802,0.001802
14,9903.24,1.0754,0.56332,1.23339,0.99166,0.99,0.9938,0.6672,1.23666,0.5298,1.28441,0.0017855,0.0017855,0.0017855
15,10615,1.01881,0.54709,1.1833,0.9899,0.97989,0.98276,0.58148,1.48917,0.59237,1.46827,0.001769,0.001769,0.001769
16,11324.6,1.04006,0.55782,1.1857,0.9934,0.99,0.99269,0.67259,1.19206,0.59002,1.24868,0.0017525,0.0017525,0.0017525
17,12036.2,1.05474,0.54653,1.20098,0.96909,0.995,0.99176,0.64111,1.26989,0.61242,1.30288,0.001736,0.001736,0.001736
18,12634.8,1.0505,0.53527,1.21094,0.9901,0.99987,0.99111,0.69366,1.10618,0.55903,1.20688,0.0017195,0.0017195,0.0017195
19,13341,0.99882,0.54095,1.18197,0.98397,1,0.98975,0.70858,1.10682,0.47825,1.20322,0.001703,0.001703,0.001703
20,14047,1.00127,0.51591,1.17532,0.984,0.995,0.99038,0.68948,1.0817,0.51982,1.21272,0.0016865,0.0016865,0.0016865
21,14752.4,1.00514,0.51422,1.18594,0.995,1,0.99371,0.71446,1.02789,0.47512,1.16614,0.00167,0.00167,0.00167
22,15460.7,1.00588,0.51188,1.15349,0.99497,0.98993,0.99345,0.63623,1.27775,0.51084,1.30821,0.0016535,0.0016535,0.0016535
23,16168.2,1.0087,0.52562,1.16588,0.98987,0.97685,0.99417,0.7343,1.00163,0.46278,1.14534,0.001637,0.001637,0.001637
24,16874.6,1.00299,0.5026,1.18223,0.98514,1,0.99205,0.66151,1.1678,0.48063,1.27171,0.0016205,0.0016205,0.0016205
25,17581.2,0.99266,0.48587,1.16483,0.99484,1,0.995,0.67576,1.19527,0.46565,1.26965,0.001604,0.001604,0.001604
26,18288.1,0.99091,0.49799,1.17295,0.99158,0.99,0.9949,0.63375,1.31348,0.50334,1.32603,0.0015875,0.0015875,0.0015875
