epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,331.178,1.22025,1.87447,1.30614,0.86917,0.93013,0.943,0.62385,1.09989,1.21877,1.24528,0.0675398,0.000494318,0.000494318
2,672.394,1.09793,0.72626,1.27654,0.97514,0.98044,0.99206,0.68033,1.07624,0.98603,1.31317,0.0346999,0.000987756,0.000987756
3,901.09,1.03474,0.6795,1.26851,0.98028,0.99443,0.99264,0.67323,1.15451,1.12516,1.38918,0.00185338,0.00147459,0.00147459
4,1087.57,1.06271,0.65966,1.25611,0.96469,1,0.98901,0.69732,1.04385,0.84401,1.33314,0.0014703,0.0014703,0.0014703
5,1270.64,1.10772,0.67541,1.28482,0.98669,0.975,0.98867,0.70354,1.05016,0.61113,1.3086,0.0014604,0.0014604,0.0014604
6,1452.39,1.03494,0.61361,1.2302,0.95146,0.99,0.96961,0.6647,1.14364,0.83195,1.37156,0.0014505,0.0014505,0.0014505
7,1582.39,1.01449,0.60455,1.22521,0.96587,0.99038,0.99103,0.69432,1.0344,0.5802,1.27223,0.0014406,0.0014406,0.0014406
8,1794.9,0.99675,0.59354,1.20659,0.97491,0.98,0.98024,0.69318,1.08155,0.57178,1.3411,0.0014307,0.0014307,0.0014307
9,1937.2,0.99259,0.56845,1.21018,0.98966,0.985,0.9947,0.67332,1.14128,0.55524,1.35167,0.0014208,0.0014208,0.0014208
10,2102.74,1.01888,0.58177,1.2177,0.99495,0.98472,0.9923,0.70091,1.06745,0.50524,1.28874,0.0014109,0.0014109,0.0014109
11,2296.19,1.01851,0.56257,1.213,0.99502,0.99908,0.99485,0.69219,1.08223,0.52377,1.29433,0.001401,0.001401,0.001401
12,2444.05,0.98616,0.55029,1.20755,0.98522,0.99969,0.99318,0.68587,1.10967,0.50239,1.36051,0.0013911,0.0013911,0.0013911
13,2626.87,0.99925,0.55678,1.22063,0.9815,0.985,0.9944,0.72562,0.99519,0.50679,1.26277,0.0013812,0.0013812,0.0013812
14,2921.92,1.04539,0.5773,1.26101,1,0.98329,0.99439,0.71403,1.03015,0.50903,1.27878,0.0013713,0.0013713,0.0013713
15,3036.16,0.98961,0.52619,1.20336,0.98508,0.99046,0.99465,0.69452,1.09044,0.505,1.3382,0.0013614,0.0013614,0.0013614
16,3308.34,0.95559,0.52778,1.18588,1,0.99388,0.995,0.68746,1.14154,0.52301,1.35516,0.0013515,0.0013515,0.0013515
17,3601.25,0.97118,0.52694,1.18149,0.98542,1,0.9943,0.72403,1.02726,0.55101,1.24495,0.0013416,0.0013416,0.0013416
18,3992.66,0.96302,0.50966,1.18537,0.99215,1,0.99485,0.72273,1.00645,0.45827,1.26487,0.0013317,0.0013317,0.0013317
19,4312.04,0.92806,0.50773,1.17303,0.97546,0.99389,0.97751,0.6541,1.17507,0.49541,1.39408,0.0013218,0.0013218,0.0013218
20,4763.67,0.94871,0.50271,1.18873,0.98024,0.995,0.99061,0.72558,1.00166,0.45132,1.27784,0.0013119,0.0013119,0.0013119
21,5134.37,0.95645,0.49204,1.18183,0.99831,1,0.995,0.7313,0.97703,0.43107,1.25207,0.001302,0.001302,0.001302
22,5506.28,0.94676,0.48857,1.17539,0.98513,0.99378,0.99455,0.72826,1.02656,0.46997,1.28241,0.0012921,0.0012921,0.0012921
23,5826.29,0.93581,0.48933,1.17435,0.98949,0.995,0.99495,0.71888,1.0736,0.45231,1.33228,0.0012822,0.0012822,0.0012822
24,6127.24,0.95943,0.48685,1.19577,0.99513,1,0.995,0.74345,0.9892,0.453,1.23736,0.0012723,0.0012723,0.0012723
25,6471.85,0.93687,0.49602,1.18247,0.99244,1,0.99286,0.74928,0.9639,0.4152,1.24009,0.0012624,0.0012624,0.0012624
26,6750.84,0.9309,0.47525,1.17393,0.99494,1,0.9949,0.72132,1.02035,0.42389,1.27664,0.0012525,0.0012525,0.0012525
27,7158.18,0.93273,0.48293,1.17732,0.9943,0.995,0.99495,0.7031,1.04573,0.46327,1.28505,0.0012426,0.0012426,0.0012426
28,7495.94,0.93681,0.4742,1.17149,0.98263,0.995,0.99026,0.71475,1.02917,0.46078,1.26705,0.0012327,0.0012327,0.0012327
29,7966.82,0.91832,0.47767,1.1546,0.99365,1,0.9945,0.73218,1.02139,0.4271,1.2748,0.0012228,0.0012228,0.0012228
30,8503.11,0.91126,0.4509,1.15266,0.99475,1,0.995,0.74611,0.99867,0.41368,1.26545,0.0012129,0.0012129,0.0012129
31,8930.35,0.91314,0.44917,1.15462,0.9897,1,0.99336,0.72656,1.0241,0.42273,1.27087,0.001203,0.001203,0.001203
32,9093.92,0.93001,0.45445,1.1688,0.9942,1,0.995,0.7124,1.03309,0.40388,1.2926,0.0011931,0.0011931,0.0011931
33,9229.82,0.89929,0.45244,1.15719,0.99392,1,0.995,0.73002,0.99503,0.41018,1.24435,0.0011832,0.0011832,0.0011832
34,9362.28,0.927,0.45978,1.18363,0.99891,1,0.995,0.72064,1.04146,0.43449,1.27805,0.0011733,0.0011733,0.0011733
